"";"V1";"V2"
"1";277;59
"2";277;189
"3";264;148
"4";264;277
"5";251;196
"6";251;264
"7";245;187
"8";245;251
"9";434;133
"10";434;185
"11";334;116
"12";334;434
"13";290;124
"14";290;334
"15";255;89
"16";255;290
"17";244;100
"18";244;255
"19";237;244
"20";237;245
"21";252;75
"22";252;214
"23";236;181
"24";236;252
"25";232;236
"26";232;237
"27";270;84
"28";270;96
"29";335;200
"30";335;216
"31";269;220
"32";269;335
"33";259;269
"34";259;270
"35";258;105
"36";258;171
"37";250;258
"38";250;259
"39";265;72
"40";265;142
"41";249;188
"42";249;265
"43";241;249
"44";241;250
"45";300;21
"46";300;119
"47";291;178
"48";291;300
"49";266;53
"50";266;291
"51";240;138
"52";240;266
"53";231;240
"54";231;241
"55";230;231
"56";230;232
"57";438;58
"58";438;109
"59";437;115
"60";437;153
"61";432;437
"62";432;438
"63";431;113
"64";431;182
"65";367;431
"66";367;432
"67";363;102
"68";363;367
"69";337;137
"70";337;363
"71";297;212
"72";297;337
"73";426;11
"74";426;12
"75";425;118
"76";425;180
"77";401;425
"78";401;426
"79";388;175
"80";388;401
"81";369;128
"82";369;388
"83";296;107
"84";296;369
"85";279;296
"86";279;297
"87";327;50
"88";327;192
"89";326;16
"90";326;203
"91";311;326
"92";311;327
"93";382;90
"94";382;147
"95";381;121
"96";381;135
"97";362;381
"98";362;382
"99";310;111
"100";310;362
"101";278;310
"102";278;311
"103";261;278
"104";261;279
"105";442;141
"106";442;167
"107";436;152
"108";436;442
"109";435;130
"110";435;132
"111";430;435
"112";430;436
"113";359;114
"114";359;430
"115";443;101
"116";443;104
"117";358;85
"118";358;443
"119";345;358
"120";345;359
"121";378;2
"122";378;79
"123";344;47
"124";344;378
"125";299;344
"126";299;345
"127";429;126
"128";429;190
"129";403;106
"130";403;429
"131";377;179
"132";377;403
"133";376;97
"134";376;144
"135";298;376
"136";298;377
"137";283;298
"138";283;299
"139";325;31
"140";325;131
"141";404;95
"142";404;174
"143";374;78
"144";374;404
"145";428;37
"146";428;99
"147";373;66
"148";373;428
"149";324;373
"150";324;374
"151";309;324
"152";309;325
"153";341;42
"154";341;83
"155";308;162
"156";308;341
"157";282;308
"158";282;309
"159";260;282
"160";260;283
"161";248;260
"162";248;261
"163";357;6
"164";357;32
"165";405;43
"166";405;120
"167";392;35
"168";392;405
"169";356;36
"170";356;392
"171";340;356
"172";340;357
"173";393;3
"174";393;61
"175";380;39
"176";380;393
"177";402;67
"178";402;160
"179";379;33
"180";379;402
"181";339;379
"182";339;380
"183";314;339
"184";314;340
"185";372;34
"186";372;80
"187";351;71
"188";351;372
"189";385;22
"190";385;63
"191";350;222
"192";350;385
"193";313;350
"194";313;351
"195";293;313
"196";293;314
"197";398;70
"198";398;87
"199";390;20
"200";390;398
"201";410;93
"202";410;201
"203";409;112
"204";409;129
"205";406;409
"206";406;410
"207";400;10
"208";400;406
"209";399;218
"210";399;221
"211";389;399
"212";389;400
"213";371;389
"214";371;390
"215";395;56
"216";395;69
"217";394;136
"218";394;210
"219";370;394
"220";370;395
"221";354;370
"222";354;371
"223";387;28
"224";387;55
"225";353;18
"226";353;387
"227";343;353
"228";343;354
"229";413;13
"230";413;19
"231";408;54
"232";408;413
"233";407;1
"234";407;4
"235";397;407
"236";397;408
"237";419;25
"238";419;68
"239";417;5
"240";417;419
"241";416;44
"242";416;417
"243";424;29
"244";424;73
"245";423;7
"246";423;424
"247";422;8
"248";422;423
"249";421;14
"250";421;422
"251";420;17
"252";420;49
"253";418;420
"254";418;421
"255";415;9
"256";415;418
"257";414;415
"258";414;416
"259";412;98
"260";412;414
"261";411;23
"262";411;24
"263";396;411
"264";396;412
"265";342;396
"266";342;397
"267";292;342
"268";292;343
"269";276;292
"270";276;293
"271";386;110
"272";386;156
"273";360;92
"274";360;386
"275";329;45
"276";329;360
"277";328;40
"278";328;51
"279";302;328
"280";302;329
"281";445;60
"282";445;76
"283";444;26
"284";444;445
"285";384;165
"286";384;444
"287";361;74
"288";361;384
"289";346;86
"290";346;361
"291";301;30
"292";301;346
"293";275;301
"294";275;302
"295";247;275
"296";247;276
"297";239;247
"298";239;248
"299";322;215
"300";322;223
"301";433;48
"302";433;198
"303";368;161
"304";368;433
"305";321;205
"306";321;368
"307";307;321
"308";307;322
"309";306;123
"310";306;219
"311";287;306
"312";287;307
"313";375;127
"314";375;213
"315";348;207
"316";348;375
"317";347;194
"318";347;204
"319";333;347
"320";333;348
"321";312;65
"322";312;333
"323";286;62
"324";286;312
"325";272;286
"326";272;287
"327";427;176
"328";427;177
"329";391;15
"330";391;427
"331";364;77
"332";364;391
"333";332;163
"334";332;364
"335";366;82
"336";366;169
"337";365;146
"338";365;199
"339";331;365
"340";331;366
"341";271;331
"342";271;332
"343";254;271
"344";254;272
"345";440;88
"346";440;103
"347";439;27
"348";439;150
"349";349;439
"350";349;440
"351";316;206
"352";316;349
"353";315;155
"354";315;164
"355";295;315
"356";295;316
"357";336;157
"358";336;168
"359";294;166
"360";294;336
"361";274;294
"362";274;295
"363";338;143
"364";338;186
"365";320;183
"366";320;338
"367";383;154
"368";383;209
"369";319;217
"370";319;383
"371";273;319
"372";273;320
"373";253;273
"374";253;274
"375";238;253
"376";238;254
"377";235;238
"378";235;239
"379";289;122
"380";289;191
"381";268;91
"382";268;289
"383";318;41
"384";318;208
"385";317;94
"386";317;211
"387";267;317
"388";267;318
"389";257;267
"390";257;268
"391";288;151
"392";288;197
"393";256;140
"394";256;288
"395";243;256
"396";243;257
"397";303;117
"398";303;134
"399";281;108
"400";281;303
"401";280;64
"402";280;172
"403";263;280
"404";263;281
"405";355;158
"406";355;184
"407";330;139
"408";330;355
"409";305;193
"410";305;330
"411";441;125
"412";441;195
"413";352;149
"414";352;441
"415";304;159
"416";304;352
"417";285;304
"418";285;305
"419";323;170
"420";323;173
"421";284;46
"422";284;323
"423";262;284
"424";262;285
"425";242;262
"426";242;263
"427";234;242
"428";234;243
"429";229;234
"430";229;235
"431";228;229
"432";228;230
"433";246;52
"434";246;145
"435";233;81
"436";233;246
"437";227;38
"438";227;233
"439";226;227
"440";226;228
"441";225;202
"442";225;226
"443";224;57
"444";224;225
